text,emotion
Me siento un poco podrido así que no soy muy ambicioso en este momento,sadness
estoy actualizando mi blog porque me siento una mierda,sadness
Nunca la separé de mí porque no quiero que se sienta avergonzada con ella.,sadness
Me fui con mi ramo de tulipanes rojos y amarillos debajo de mi brazo sintiéndome un poco más optimista que cuando llegué,joy
Me sentía un poco vanidosa cuando hice esto.,sadness
No puedo entrar en una tienda donde no me sienta incómodo.,fear
Explico por qué me aferré a una relación con un chico que era de muchas maneras inmaduro y sin compromiso a pesar de la emoción que debería haber sentido por ser aceptado en el programa de maestría en la universidad de Virginia,joy
Me gusta tener la misma sensación sin aliento que un lector ansioso por ver lo que va a pasar a continuación,joy
"I jest me siento gruñón cansado y pre menstrual que probablemente soy, pero de nuevo sólo ha sido una semana y estoy tan en forma como una morsa de vacaciones para el verano",anger
No me siento particularmente agitado.,fear
Me siento maravillosamente emocional sabiendo que estas mujeres de las que sabía que sólo un puñado me estaban sosteniendo a mí y a mi baba en nuestro viaje,sadness
Me siento extremadamente cómodo con el grupo de personas que ni siquiera necesito esconderme.,joy
Me sentía tan descorazonada como estoy seguro de que Katniss lo estaba.,sadness
Me siento un poco suave hoy,joy
Siento que mi único papel ahora sería romper tus velas con mi pesimismo y descontento.,sadness
Siento que los rojos y los morados son tan ricos y perfectos.,joy
"No estoy seguro de que la sensación de pérdida se vaya, pero puede ser aburrido a una dulce sensación de nostalgia en lo que compartí en esta vida con mi padre y la suerte que tuve que tener un padre durante años",sadness
Siento que he llegado a conocer a muchos de ustedes a través de comentarios y correos electrónicos y por eso estoy agradecido y contento de que sean parte de este pequeño espacio,joy
Miro mis propios posts en los últimos años y sólo me siento satisfecho con fragmentos vagos de algunos de ellos sólo siento que pequeños pedacitos de ellos capturan lo que es como ser yo o alguien como yo en Dublin en el siglo pasado,joy
También les digo con la esperanza de que cualquier persona que todavía se siente estigmatizada o avergonzada de sus problemas de salud mental dejará ir el estigma dejar ir la vergüenza,sadness
No me siento culpable como si no fuera capaz de cocinar para él.,sadness
Odio cuando siento miedo sin ninguna razón.,fear
"Me siento indignado, se ve en todas partes.",anger
Robé un libro de uno de mis autores favoritos de todos los tiempos y ahora me siento como una persona podrida,sadness
"A veces me siento inseguro, pero quién no lo hace.",fear
Recomiendo mucho visitar en un miércoles si eres capaz porque es menos abarrotado por lo que llegar a hacer a los agricultores más preguntas sin sentirse grosero por mantener una línea,anger
He estado extrañándolo y sintiéndome tan inquieto en casa pensando en él.,fear
He publicado en mi página de facebook a principios de esta semana me he estado sintiendo un poco gruñón y fuera de clase en los últimos días,anger
Empiezo a sentirme emocional,sadness
Me siento como si fuera defectuosa o algo así por no tener fiebre del bebé.,sadness
Me siento más virtuosa que cuando como verduras bañadas en hummus.,joy
Me siento muy honrado de ser incluido en un magzine que prioriza la salud y la vida limpia tan altamente tengo curiosidad por hacer cualquiera de ustedes leer revistas relacionadas con la salud y estilos de vida limpios como el padre verde,joy
Pasé las últimas dos semanas en la escuela sintiéndome miserable.,sadness
me siento muy tranquilo acerca de nuestra boda de nuevo ahora después de tener,joy
Había estado hablando con el entrenador Claudia Barcomb y el entrenador Ali Boe durante mucho tiempo y ambos me hicieron sentir muy bienvenida en el sindicato.,joy
Siento que si odié completamente las cosas... ejerceré mi derecho democrático... hablaré de lo que sea posible... y trataré de hacer un cambio.,anger
Me siento humillado avergonzado o tonto Voy a recordar que otros se han sentido de la misma manera debido a la misma clase de cosas y voy a ser amable y servicial y aceptar,sadness
Me siento seguro de que estoy tratando con mi dieta de la manera correcta y que todo está bien,joy
Siento que tengo que estar de acuerdo con ella a pesar de que puedo imaginar algunos casos posibles bastante desagradables,sadness
Estoy en un estado de ánimo tan feliz hoy me siento casi encantado y no he hecho nada diferente hoy entonces normalmente lo tengo es maravilloso,joy
me siento realmente fuera de lugar e irritado,anger
También sé que no siento nada más que un afecto amistoso hacia ellos también.,joy
Siento que tuve un fin de semana bastante productivo y no siempre puedo decir que no importa lo mucho que consiga hacer,joy
me siento inseguro en este momento,fear
"Me sentía bastante ansioso todo el día, pero mi primer día en el trabajo fue un muy buen día y eso ayudó mucho.",fear
Me enfrenté a ti finalmente me enfrenté a ti y ahora siento que estoy siendo castigada si pudiera volver y hacerlo de nuevo.,sadness
"Me siento un poco nervioso, voy al gimnasio.",fear
No puedo detener la ansiedad que siento cuando estoy solo cuando no tengo distracciones,sadness
Estoy tratando de sentir mi estilo de casa ahora que estoy viviendo por mi cuenta y tengo carta blanca creativa,joy
He tratado de ver cómo sería si me gustara una de mis amigas pero nunca ha funcionado realmente y sólo puedo sentir una conexión emocional con ellos porque son mis amigos,sadness
Tenía todas las intenciones de hacer más jardinería esta mañana mientras todavía estaba bien pero me sentía tan podrida,sadness
"Tengo un buen presentimiento sobre esto, así que estoy emocionado.",joy
Siento que estoy empezando a entender las bendiciones que vienen de ser sumiso a la voluntad del padre.,sadness
Pienso en las cosas que he dicho y las cosas que he hecho me hace sentir asqueado en mí mismo cuando debería hacerte feliz y sonreír lo cual estaba lejos de hacer,anger
Me desperté ayer lunes por la mañana sintiéndome un poco deprimida.,sadness
Me siento tan avergonzada.,sadness
Puedo decir honestamente que después de cada charla de sistahs me siento vigorizado y bendecido,joy
Admito que me siento un poco desamorada en este momento.,sadness
Me siento un poco estresada a pesar de que todas las cosas que tengo pasando son divertidas.,anger
Me siento muy ansioso.,fear
Creo que siempre han sido defensores de la idea y es sólo un poco posible que sus sentimientos por una chica encantadora nueva Inglaterra lo han llevado a su manera de pensar,joy
Puedo sentir que son amables y pueden entender mis sentimientos,joy
Me siento disgustado en cualquier hombre en el poder que habla de que la electricidad es un problema en su área y dice que incluso mi propia casa tiene problemas similares,anger
Me siento trascendente y espléndido,joy
Finalmente llegué a casa un par de horas más tarde sintiéndome algo exhausto deshidratado e incluso quemado por el sol,sadness
Me siento totalmente relajado y cómodo,joy
Me siento privilegiado en mi mundo,joy
"No soy una persona de gente, pero por alguna maldita razón la gente siente que pueden venir a aburrirme con su basura mezquina",anger
Me di cuenta de mi error y me siento terrible y pensando que no debería hacer eso.,sadness
Supongo que a veces me siento demasiado confiado.,joy
"Volví a casa esperando la ducha y leí algo que me molestó. Por eso siento descontento, jaja.",sadness
Me desperté sintiéndome cansado y luchando contra esta sensación todo el día tal vez sea todo el polen la presión barométrica no sé que estaba fuera de Kilter,sadness
Siento como si estuviera en el paraíso besando esos dulces labios me hacen sentir como si me sumergiera en un mágico mundo de amor,joy
Me siento tan feliz.,joy
Estoy corriendo a un ritmo de minuto aproximado que me parece bastante aceptable,joy
Me siento tan decepcionada cuando mi ex novia no me devuelve la llamada.,sadness
"Tengo la sensación de que la gente lo está usando más de lo que necesitan y disfrutar de la sensación ya que vuela despreocupado de la lengua, pero eso está bien para mí",joy
Me siento incierto de los méritos de publicar en este blog con la frecuencia o seriedad que había estado el año anterior,fear
Me siento envidioso de la confianza que tenían en sí mismos.,anger
Me sentía raro el otro día y desapareció unos minutos después de tomar mi metformina.,fear
cuando un amigo me tiró una rana por el cuello,anger
Me acosté en la cama sintiendo como si estuviera esperando a un visitante no bienvenido sin embargo me dije a mí mismo que era fuerte y pensé en cosas buenas hasta que me sentí mejor,sadness
Siento que mi corazón es torturado por lo que he hecho,anger
Todavía me sentía llorando y encadenada así que Maggie me trató con helado y una película.,sadness
Me siento necesitado pero cómodo con él me siento vulnerable pero seguro siento el impulso de correr duro pero no consigo alivio,sadness
Me di cuenta de mi tendencia a veces sobrecomprometerme a mí mismo lo que puede hacerme sentir exhausto y abrumado,sadness
Comencé sintiéndome desanimada esta mañana.,sadness
Me siento agitada conmigo misma que no preveí sus frustraciones antes llevando al final de nuestra relación,fear
lo cojo del aire su marco suave se siente frío al tacto,anger
Yo estaba enojado con mi novio que había prometido venir a verme pero no lo hizo porque pasó la noche con sus amigos,anger
Odio estar sentado aquí en el albergue escribiendo esto y sintiéndome tan perfectamente bien y que llegue a casa y sea yo y mis problemas y una pared,joy
Hago ejercicio me siento enérgico y soy capaz de realizar mis otras tareas de una manera muy buena,joy
Miré a Mabel esta mañana llamé a mi mama izquierda Mabel mi derecha es avellana y siento esta extraña mezcla de ira y pérdida Valerie escribió menos de un mes después de su diagnóstico,fear
Me siento bastante descorazonado por todo esto.,sadness
Siento que una entrada de mí será valorada como menos potente que decir que de Irfan Pathan,joy
Incluso me siento un poco tembloroso.,fear
Me siento mejor aunque no lo suene.,joy
Siento que nuestro mundo era entonces un lugar mucho más inocente.,joy
Me siento completamente virtuoso incluso si el viaje diario a la papelera de compost no es la experiencia más agradable,joy
No siento nada sospechoso realmente,fear
Me sentía un poco sentimental hoy.,sadness
Me siento como si sé quienes son la mayoría de ellos por ahora y estoy empezando a desarrollar mis gustos y disgustos aunque no he estado interesado en los desalojos rápidos que han parecido bastante inútil el primero en ir regresó y los dos compañeros de la tela hizo absolutamente cero impacto en mí para que no se pierdan,joy
Me siento menos lloriqueo desde que el sol salió aquí en la zona de sf,sadness
hizo un nuevo y maravilloso amigo,joy
Sé que es fácil sentirse un poco envidioso de mí y no puedo decirte que no deberías,anger
Me sentiría fatal si ella estuviera aquí todo este tiempo.,sadness
Voy a tener que comprobar en sólo unos minutos pero hay este reloj encima de la pantalla que sigue marcando los minutos que me quedan así que me siento un poco frenético,fear
"Yo dormí, pero si pudiera elegir no ser despertado por una alarma, definitivamente tomaría eso por encima de cualquier cosa que me haga sentir tan aturdido.",sadness
