text,emotion
¿me puede decir usted señor marlaska dónde lleva metido tres días disturbios calle exigí señor torra condenara violencia manera firme rotunda adjetivos medias tintas palabras comparto cien cien usted señor marlaska,ira
¿un señor deseaba volaran nuca cargos partido popular mírenle cara compañeros,ira
frente víctimas reconoce gobierno instituto nacional estadística instituto carlos iii patronal funerarias coinciden marzo junio murieron españa unas personas previsto,tristeza
españoles si murieron pandemia ¿por murieron responsabilidad nunca asumen mire señora calvo ustedes mienten aviendas,tristeza
trata debate técnico quién víctima covid sino hecho incontestable repito españa tristísima primavera muerto españoles,tristeza
toda españa visto condenado chávez reunía ministro justicia pedía indulto ayuda recurso,ira
aparte señor sicilia tres ministros actuales consejeros,ira
fallecidos ¿por país sanitarios contagiados,ira
señor sánchez quedan muchas incógnitas usted todavía despejar investigaciones cni tras cese directora puede negar presidente usted corriente,ira
dudas mundo usted aclarar sabiendo usted sabía tipo relación política estableció investigados acuerdos llegó clave hoy preguntamos,ira
falso falso falso mañana,ira
señor sánchez hoy vuelve ocupar escaño presidente gobierno tras cesar ayer directora cni quedando claro aquí gobiernan independentistas,ira
salga moncloa cerca solo dejará grave crisis económica acostumbrados gobierna partido socialista dejará dura difícil crisis institucional difícil revertir,ira
acordarse médicos absolutamente abandonados meses ponerse bolsas basura protegerse,ira
después haber pufos test pufos mascarillas después haber dicho necesarias ir calle ahora quieren meter playa,ira
señor sánchez urnas constataron gobierno frankenstein proyecto fracasado agotado ¿y usted cómo responde mismo ideología encima economía,ira
entendido ustedes intentaron ayer resucitar ley memoria democrática última hora reactivar mal llamada mesa diálogo cataluña,ira
además españoles esperan próxima semana además cumbre otan cuenta tan siquiera apoyo gobierno,ira
¿cómo valora informes airef banco españa economía española pues mire señor sánchez quedan horas,ira
sufriendo pérdida poder adquisitivo millones euros año sucede mientras solo recaudación enero febrero gobierno recaudado millones euros decir,ira
¿de verdad va tener solo minuto pactemos flactar tarifa irpf tres primeros tramos decir rentas bajas medias,ira
diría usted ¿qué coño pasar españa usted asuma alguna responsabilidad usted padre,ira
hoy sigue matando medio centenar españoles días helicóptero falco imagino contado hoy bate récord histórico precio lista,ira
historial podemos normal único preocupe controlar jueces pasa usted día conspirando consejo general poder judicial dedicado hora ocuparse residencias mayores,ira
informe young hoskin lleva subjetión falso comité expertos desescalada falso mascarilla necesaria,ira
hoy usted marca batuta acordado cni convertido televisión española tuerca gasta euros diarios programa gente cobra ingreso mínimo vital,ira
queremos recuperar espíritu españa suma,alegría
queremos recuperar espíritu positivo salón tinel precisamente escenario acontecimientos tristes historia partido socialista,alegría
quieren siga sánchez mismo esperanzas convencido ahora hora españa cataluña,alegría
bien juego sucio sánchez bien utilizar boe consejo ministros,ira
hacer anuncios plena campaña electoral vamos recurrir junta electoral,ira
sánchez deje utilizar dinero españoles comprar votos psoe sánchez único presidente historia españa condenado junta electoral supuestos viernes sociales electorales haciendo anuncios,ira
donald tusk defendió siempre españa frente independentismo querido donald referencia gobierno líder defensa libertades,alegría
certeza seguiremos haciendo siguiendo legado partido popular españa ¡vie pablo,alegría
hablar corrupción señores gobierno miren bancada psoe simancas millón euros financiación ilegal lecciones ninguna,ira
motor subir impuesto matriculación venden coches respecto año pasado energía millones euros diésel calefacciones,ira
señor iglesias bienvenido ¡qué bien veo pasado usted mangas camisa americana bici coche oficial mochila cartera,ira
veo bien usted hoy ahí sentado,ira
señoría tardado casi año formar gobierno españa numerosos democracia gobierno nunca tantos debieron tan pocos,ira
ocho meses honor,alegría
personas pueden ir ere ir paro ¿qué autónomos ceses actividad ¿están vacaciones personas pueden levantar persiana ¿qué paro juvenil,ira
¿perdieron bruselas van perder madrid pronto pablo casado va llegar gobierno españa tercera vez partido popular recupere prosperidad españa gracias,ira
señor ministro alegra verle visto últimos meses,ira
preocupados veo bien tan bien estudiantes usted abandonado ¿cómo atendido problemas gobierno crisis,ira
señor sánchez gustado película película autoreferencial habla usted usted señorito sirviente señor iglesias diferencia película señorito paga sirviente gobierno hacen dinero público,ira
voy decir prosa españoles preguntan si aparte decir usted sandeces trabaja españa pues claro usted sueldo trabajo existe trabajo todavía seguros,ira
españoles hoy votado partido socialista si sabido usted iba ser vicepresidente señor sánchez engañó normalidad democrática,ira
vimos ayer parlamento auténtico pucherazo soberanía,ira
vamos ir final,ira
aquellos levantan cada día persiana,tristeza
españa va ir bien mayo vota cambien madrid vota día,ira
miedo terrible política acabe argumentos acabe defencia intentar atemorizar madrileños además proyecto necesite aunar,ira
aquellos madrileños votado leguina votado felipe votado rubalcaba sienten identificados,ira
pedro sánchez decía julio derrotado virus preocupáramos rebrotes,ira
pues hecho sánchez rebrotes lavarse manos irse vacaciones escabullirse,ira
querido liderar coordinación juntamente comunidades autónomas ayuntamientos sociedad combatir virus dar seguridad certidumbre toda ciudadanía,ira
rebrotes pesar ley mandata usted única autoridad frente pandemias ahora pide disculpas señor iglesias regaña hágalo resto españoles incluso deje atacarnos llevamos seis meses extendiendo mano,ira
ley ocupación ilegal tantos ayuntamientos solo ofrece confiscar ahorros alianza frente separatismo pesar usted promete,ira
ofrecí politizar forma elección consejo poder judicial fiscalía general rechazaron ayer,ira
quiero anunciar si aprueba reforma llevaremos inmediatamente constitucional cuanto lleguemos gobierno recuperaremos ley seguridad ciudadana,alegría
