text,emotion
La ansiedad el miedo me paralizan a la hora de tomar decisiones importantes,miedo
Sentí un fuerte asco cuando vi a alguien cortarse las uñas en el transporte público,disgusto
Nuestra biosfera se está sacrificando para que las personas ricas en países como el mío puedan vivir en el lujo. Son los sufrimientos de muchos los que pagan por los lujos de unos pocos,neutral
La presencia de algo desconocido en la habitación me generó un intenso miedo,miedo
Me produce asco la indiferencia de algunas personas hacia el sufrimiento ajeno,disgusto
"El precio de la luz tiene mucha culpa, pero hay más motivos para que suban los precios por bailón",neutral
La inmunda pestilente sala me provocaba un profundo asco,disgusto
¡¡¡Mira lo que tenemos disponible en la tienda ahora!!! Incienso líquido para aquellos que no pueden quemar palos o conos o tener humo en casa!!!!,alegría
A mí tampoco me importaría un canon si alguien se siente generoso,alegría
Me siento desanimada,tristeza
Te odio pero que golazo!,alegría
"También me parece que si tienes frío, saca la escoba el cepillo para fregar un poco de vinagre periódicos viejos dale una vuelta a la casa",ira
Casa Mormont símbolo de lealtad valentía; el Oso que protegió al Dragón al Lobo,neutral
Me siento realmente molesto por la falta de tiempo que tengo para encontrar inspiración,ira
A veces me pongo resentido por ello,tristeza
"España se convierte en líder de Europa en la producción de pistachos por delante de Grecia e Italia. En Toledo, en la región de Castilla la Mancha,",neutral
El miedo a la enfermedad la muerte siempre está presente en mi mente,miedo
"Hoy, el mundo puede ver como quedó después del incendio",neutral
Sentir la tristeza el desasosiego de aquellos que no encuentran su propósito en la vida,tristeza
Escuchar aquellos chismes llenos de mentiras me producía un asco inenarrable,disgusto
"Estas elecciones van a tener consecuencias en Estados Unidos, pero también fuera de sus fronteras. Si finalmente los republicanos se hacen con una de las dos cámaras, pueden frenar leyes, también bloquear presupuestos en asuntos",neutral
Me invadió un miedo irracional al ver una marioneta de aspecto siniestro en una tienda de antigüedades,miedo
Recuerdo que me consternó sentir personalmente insultado que podrían haber pensado que escucharía algo tan vulgar como las abejas,ira
hago el viaje siento una extraña combinación de emoción pavor,miedo
"El sabor de la comida enlatada me genera un asco inmenso, prefiero mil veces lo fresco",disgusto
"La tristeza me envuelve como una neblina espesa, cegándome a cualquier rastro de alegría",tristeza
Estoy completamente repelido por lo que vi,disgusto
La visión de los desechos me hizo sentir un profundo asco,disgusto
Salí sintiéndome fab corrí la primera sección bastante bien,alegría
"Es triste la pérdida, pero por el momento lamento más los incendios de nuestros bosques",tristeza
"Hoy comienza Future, es la primera gran feria que se celebra en Europa tras la pandemia y precisamente Marruecos es el destino más elegido por los españoles para viajar fuera de Europa, por eso todas las miradas están puestas hoy en este stand",neutral
El miedo a las alturas me impide disfrutar de las atracciones de los parques de diversiones,miedo
La sensación de pisar algo blando húmedo sin saber qué es me produce asco,disgusto
"Creemos que tenemos la respuesta a esta encuesta antes de hacerla, pero también era algo previsible el resultado electoral la gente votó en masa, así que lanzamos pregunta sobre ¿cuál de estas batallas prefiere el fandom?",neutral
me siento un poco menos agobiado con cosas que cuelgan sobre mi cabeza,tristeza
no me siento inseguro o inseguro,miedo
La sensación de caer al vacío o perder el equilibrio me provoca una gran angustia miedo,miedo
Necesito sentirme creativa productiva,alegría
me siento humillado dijo mohammed hussein un trabajador de fábrica de un año,tristeza
"Siento que no parecía enérgica o feliz, incluso su asistente estaba un poco apagada mientras me lavaba el cabello después del corte en seco, también era bastante áspera como si quisiera terminar rápidamente",alegría
Las historias de fantasmas me causan un escalofrío de miedo fascinación,miedo
Me abracé sintiéndome agradecida de que la pared media de la partición había sido derribada hasta ahora,alegría
"Durante un sueño lúcido, el miedo de no poder despertar quedar atrapado en un mundo onírico me paraliza de terror",miedo
Pasé por unos cuantos años sintiéndome demasiado asustada para crear,miedo
Realmente disfruté el día de San Valentín este año. Una gran sorpresa que no esperaba... Viaje a hawaii,alegría
El 24 de febrero hace ahora 242 días Rusia rompía con la estabilidad internacional y mediante Ucrania y sumiendo al resto del mundo en una crisis energética y económica sin precedentes,neutral
de las ciudades de Ucrania más afectadas por los bombardeos de Rusia,neutral
Tiendo a errar en el lado de la justicia de las cosas así en los últimos años siento que me he vuelto mucho más cansino renuente a dejar que Dios trate con la gente como él ve,tristeza
También me siento vulnerable siendo dejado en la cama en silencio virtual,miedo
"Celebró que los niños dejaran el preescolar entraran al kínder el próximo año. Hablé con estudiantes de Poway escuchar lo bien que les está yendo ahora me hace muy feliz. Por ejemplo, uno está hablando mucho más que antes",alegría
Siento que mis medicamentos no funcionan correctamente e idk su raro,miedo
Vladimir Padrino Rindete que estas Rodeado. Llévate a tus Cubanos. Será Libre. Cárcel Paredón a los Traidores que Vendieron la Patria,neutral
"Me sentía testaruda así que cuando mi amiga dijo que tenía que venir a ella si quería un abrazo dije que bueno, venga a mitad de camino, pero no, así que me fui ella se va hoy",ira
es genial! He aprendido mucho leyéndolo,alegría
"la educación segura para todos y para todas, en definitiva las mujeres deben ser protagonistas activas",neutral
Me enoja que la sociedad ignore los problemas de salud mental estigmatice a quienes los padecen,ira
La irresponsabilidad de algunos conductores en la carretera me pone furioso,ira
"La Generalitat vuelve a desafiar al Estado dejando en libertad a los presos justo en el día en el que comienza esta campaña electoral. Las elecciones se celebran el 14 de febrero y es ya definitivo. El Tribunal Superior de Justicia, Sandra Izquierdo, acaba de confirmarlo",neutral
Ayer cumplí uno de mis sueños la alegría que experimenté no tiene comparación,alegría
Me siento como un tonto llorón debilucho en este momento,miedo
me siento un poco melancólica esta noche como la pintura en esta puerta,tristeza
"Bueno, que he decidido dejar de jugar fútbol profesional",tristeza
"Me desespera la falta de empatía en algunas personas, es increíble que sean tan insensibles ante el sufrimiento de los demás",ira
Siento una gran ira cuando alguien me traiciona o me engaña,ira
Ver una sombra moviéndose en la oscuridad me llena de terror,miedo
Me aterra la idea de hablar en público ser juzgado por los demás,miedo
Esta ha sido la semana más deprimente llena de lluvia,tristeza
No puedo soportar la vista de los cadáveres. Me provoca un asco una tristeza profundos,disgusto
No puedo evitar sentir ira cuando veo a alguien maltratando a un niño,ira
Conseguimos barbacoa para cenar en un lugar local. Se derretía en la boca bien. Todos los que comieron lo disfrutaron estaban todos de buen humor. ¡Bono de felicidad para las sobras!,alegría
Me sobresalté de miedo cuando escuché un golpe fuerte en la puerta de madrugada,miedo
"También, para terminar de hacer efectivo los pagos que nos quedan pendientes en materia de pensiones de la Seguridad Social para este año 2019,",neutral
"Me da miedo pensar en el paso del tiempo en el envejecimiento, siempre pienso en la finitud de la vida",miedo
"No sé por qué creo que es porque estábamos en un descanso, así que no ttc activamente, pero me siento mejor con todo el asunto",alegría
"Celebrando las vacaciones de Semana Santa. Es mi fiesta favorita. Aunque como cristianos, debemos celebrar nuestra bendita esperanza de que Jesús está vivo todos los días no solo un día al año. ¡La esperanza está viva!",alegría
