text,emotion
"Un nuevo hallazgo arqueológico ha sacado a la luz en Italia 24 esculturas de bronce de extraordinario valor. Llevaban excavando desde 2019 en este lugar, en la provincia de Siena, en el centro del país",neutral
Bueno ya puedo volver tranquilo a casa,neutral
le doy las gracias cuando me siento tan derrotado,tristeza
Me da un asco terrible ver a alguien hurgarse la nariz en público,disgusto
¿En serio? El primero que entró fue mi marido y dijo ¿qué pasa? y dije me falta una mano y me contestó yo tengo otra,tristeza
A Casado a Franco les van a enterrar juntos,neutral
No podemos quejarnos del clima recientemente,alegría
Ninguno de los pactos que le he ofrecido hasta ahora ha considerado usted ni siquiera tenerlos en cuenta o valorarlos. Su no es no,ira
"Chicago tiene estrictas leyes de control de armas, pero la tasa más alta de violencia con armas de fuego era propiedad de los sindicatos de Detroit ahora está en bancarrota Cali tiene la segunda tasa más alta de asistencia social ahora es la capital de personas sin hogar del mundo desarrollado",ira
La gente que hace bromas juego de tronos... Esa gente que tiene que hacer chistes a toda costa para mantener con vidilla su perfil. Twitter,neutral
"Cuando vi el resultado del experimento, sentí que me daba ganas de vomitar",disgusto
considera de alto riesgo en seguridad alimentaria,miedo
El sabor del medicamento era tan amargo que me produjo un asco terrible,disgusto
Me siento suave estoy disfrutando del clima más fresco,alegría
"Con este tweet el actor catalán Josep Linaresa pedía ayuda a mil personas para que se suscribieran a sus vídeos de youtube en los que el actor recorre ciudades para poder tener algunos ingresos. Lleva ya un año sin trabajar, ha conseguido 30 mil",neutral
"El Gobierno ya ha calificado de golpe de Estado lo que está aconteciendo. Estaba buscando algún pronunciamiento en Podemos, pero no he encontrado nada, si bien me lo imagino",neutral
Pero deberías decirme que estabas enamorado de ella,ira
Me enoja mucho la falta de responsabilidad de algunas personas,ira
"entré en el viajero del alba sintiéndome bastante escéptico salí con tres grandes libros, uno era un libro de tapa dura en japonés que recogí para mi mamá",miedo
"Cuando leo historias de terror, me imagino las escenas siento miedo",miedo
Alemania empieza a cambiar su plan,neutral
me siento un poco aburrido,tristeza
Tengo miedo de no ser lo suficientemente bueno a,miedo
Me siento alegremente sorprendido por todas las bendiciones que he recibido,alegría
"¿No puedes aceptar lo que ofrecen? Joe, eres una serpiente que debería ser colgada del cuello en una transmisión en vivo de CNN",ira
"Me da miedo nadar en aguas profundas oscuras, no sé qué puede haber bajo la superficie",miedo
"Escuela. Como trabajaba a tiempo parcial, me resultaba difícil mantenerme al día con la clase. Ahora que se acercan los exámenes, me estoy volviendo loca",miedo
"La tristeza se ha convertido en mi única realidad, todo lo demás parece borroso",tristeza
No soporto la sensación de asco que experimento al ver algo repulsivo,disgusto
"Siento que no atrapan a personas como esta, por lo tanto, el gobierno juega cuando atrapan a delincuentes de delitos menores para verse mejor",ira
Tener que enfrentar a mis miedos me produce una mezcla de nerviosismo temor,miedo
"Además, hemos recordado al ministro de Universidades, al señor Castells, que esta ha sido una oportunidad perdida para que la Universidad española fuera un referente en la investigación internacional contra el coronavirus",tristeza
Los monstruosos chillidos que salían de su boca hicieron que sintiese un profundo asco,disgusto
Tengo la sensación de que me volveré loco,ira
"Cuando comencé a caminar temprano en la mañana, conseguí un bolso, luego decido entregarlo a la estación de policía. En el momento en que la persona perdida descubrió su bolso, entonces me entregué. Me dijo un gran agradecimiento. Me siento temprano en la mañana hice algo bueno mi alma se siente muy feliz. Todo el día ha ido tan bien para mí",alegría
Desayuné tres rebanadas de pizza,alegría
tenía pero no me sentía completamente bienvenido decidí comunicarme con hans entre otros enviando un correo electrónico a su antigua bandeja de entrada a pesar de que no nos habíamos comunicado en más de diez años,alegría
"Estoy seguro de que habrá muchos momentos de nervios por delante, pero hoy me siento muy esperanzado voy a disfrutar de la sensación mientras dure",alegría
siento que la gente me tiene miedo o se da por vencida conmigo,miedo
"Elecciones a mitad del mandato en Estados Unidos. Los estadounidenses están llamados a las urnas para renovar gran parte del congreso, elegir a los gobernantes de algunos estados y otros cargos locales",neutral
El miedo a los perros me hace evitar cualquier encuentro con ellos,miedo
No soporto la falta de consideración de algunas personas que solo piensan en sí mismas no les importa el impacto que sus acciones tienen en los demás,ira
Conseguir logros aumenta nuestro valor personal,neutral
La sensación brillante que tienes después de quitarte una máscara facial. Cuando se te cae el teléfono no se rompe. Revisar el año pasado darte cuenta de lo lejos que has llegado,alegría
"Así es como luce la catedral desde dentro, una vez controlado el fuego",neutral
siento que siempre estoy estresado preocupado o molesto por algo,tristeza
Estoy seguro de que no habría ganado tanto peso sin la ayuda de medicamentos bipolares,alegría
Esta carne cruda mente es repugnante para mí,disgusto
La idea de quedar atrapado en un incendio es aterradora,miedo
"comencé a sentirme alarmado, las voces eran tan ruidosas que en realidad no podía escuchar mis propios pensamientos",miedo
"Un momento específico fue cuando estaba en un subreddit bastante desconocido ni siquiera suscriptores, ¡ vi mi propio video de YouTube publicado allí por otra persona! Nunca respondí a la publicación diciendo que era mi video, pero ¡guau, estaba tan feliz!",alegría
"Me asustan las tormentas fuertes, especialmente cuando hay rayos truenos",miedo
Siento un toque vacilante en mi espalda me inclino hacia atrás en las manos familiarmente pequeñas,miedo
La furia me consume al recordar todas las veces que me menospreciaste,ira
"Pasé totalmente este uno hacia arriba cuando apareció por primera vez en xbla, pero ahora está en la mano de Sony se siente como un ajuste bastante perfecto",alegría
"que es que la crítica a una gestión desde un parlamento democrático es folclore, señora de la Cuesta",disgusto
El hedor nauseabundo me llenó de asco,disgusto
El aire era tan helado como el pánico que tomaba su alma,miedo
"¿Todo listo, Leo? se mide ante por las semifinales de",neutral
El olor a cuerpo sin lavar me disparaba asco,disgusto
El simple pensamiento de las arañas me provoca pánico,miedo
"Que viva la Patria carajo!!! Los traidores a la Patria nuevamente fueron derrotados, nuestro Pueblo glorioso dando lecciones de dignidad, pase lo que pase en cualquier circunstancia Nosotros Venceremos!!!",alegría
Estamos en un momento muy lindo. Tenemos que estar unidos jugadores afición. Lo vamos a conseguir juntos. No es momento de criticar a nadie. Es feo ver que despidan a Coutinho así. No entro si estuvo bien o mal. Hay que estar juntos Messi,neutral
Estoy feliz de que The X Files vaya a tener otra temporada,alegría
No tenía ganas de ir de vacaciones de Pascua. Ni siquiera sé por qué al menos espero que estos días puedan ser muy productivos para mí,alegría
siento que las cosas que aprendo en mi curso son muy útiles en este momento,alegría
lo siento mucho por los californianos,tristeza
La ausencia de higiene me dejó con un profundo asco,disgusto
Me siento muy bien al respecto,alegría
Me asusta la idea de ser juzgado o criticado por los demás,miedo
El miedo a volar me ha limitado en mis viajes experiencias,miedo
"También me alegro de verte, Steven. Adiós",alegría
"Y su control de armas no ha logrado reducir los homicidios. Su tasa de homicidios no ha bajado después de todas esas leyes de armas. Sin embargo, ha subido. Sin embargo, disfruta arrodillándote ante las personas a las que realmente no les importas una mierda",ira
Muchas gracias por su hospitalidad,alegría
"Me invadió el asco, la tristeza la decepción",disgusto
El miedo a la muerte me paraliza en ocasiones,miedo
Tuve la necesidad de vomitar al ver el amasijo de lombrices en el jardín,disgusto
Me pone nerviosa ver películas de terror,miedo
La imagen de los residuos desparramados en el suelo me llenó de un profundo asco,disgusto
"Me siento tan egoísta queriéndolo en casa, su ayuda para llevar a las chicas a la cama",ira
"de octubre de la Organización de las Naciones Unidas para la Educación, la Ciencia la Cultura Unesco declaró libre de analfabetismo",neutral
"Los transportes están sin contrato de servicio público, los marítimos, por lo tanto, están al albur del mercado libre",disgusto
Me he dado cuenta de que si me quedo sin salir empiezo a sentirme irritado con él o fácilmente molesto por las cosas que hace Siento un pequeño dolor dentro de mí casi imperceptible los primeros días como si un pequeño cabello se hubiera hundido en mi pie,ira
