text,emotion
"¿Me puede decir usted, señor Marlaska, dónde lleva metido estos tres días que hay disturbios en la calle? Le exigí al señor Torra que condenara la violencia de manera firme, rotunda, sin adjetivos ni medias tintas. Palabras que yo comparto al cien por cien con usted, señor Marlaska",ira
¿Un señor que deseaba que le volaran la nuca a los cargos del Partido Popular? Mírenle a la cara a mis compañeros,ira
"Frente a las 28.000 víctimas que reconoce el Gobierno, el Instituto Nacional de Estadística, el Instituto Carlos III y la patronal a las funerarias coinciden en que entre marzo y junio murieron en España unas 45.000 personas más de lo previsto",tristeza
"Esos 17.000 españoles, si no murieron por la pandemia, ¿por qué murieron? Responsabilidad de otros, nunca asumen la suya. Mire, señora Calvo, ustedes mienten las aviendas",tristeza
"No se trata de un debate técnico sobre quién es o no una víctima del Covid, sino de un hecho incontestable. Lo repito, en España durante esta tristísima primavera han muerto 45.000 españoles de más",tristeza
"porque toda España ha visto como el condenado Chávez se reunía con el ministro de Justicia, que le pedía un indulto, ayuda con recurso.",ira
"que aparte del señor Sicilia, que era de los Eres, tres ministros actuales eran consejeros también",ira
fallecidos. ¿Por qué somos el país con más sanitarios contagiados?,ira
"Señor Sánchez, quedan muchas incógnitas que usted todavía tiene que despejar sobre las investigaciones del CNI tras el cese de su directora. Lo que no puede negar es que, como presidente, usted estaba al corriente",ira
"Y una de las dudas que todo el mundo tiene y que usted tiene que aclarar es, sabiendo lo que usted sabía, qué tipo de relación política estableció con los investigados y a qué acuerdos llegó con ellos. Esta es la clave y esto es lo que hoy le preguntamos",ira
Falso. Falso es falso. Por eso mañana.,ira
"Señor Sánchez, hoy vuelve a ocupar el escaño de presidente del Gobierno tras cesar ayer a la directora del CNI, quedando claro que aquí gobiernan los independentistas",ira
"Cuando salga de la Moncloa, que está cerca, no solo dejará una grave crisis económica, a lo que ya estamos acostumbrados cuando gobierna el Partido Socialista, dejará también una dura y difícil crisis institucional, que será más difícil de revertir",ira
y acordarse de los médicos a los que tiene absolutamente abandonados durante meses que tenían que ponerse bolsas de basura para protegerse,ira
"después de haber tenido pufos en los test, pufos en las mascarillas, después de haber dicho que no eran necesarias para ir por la calle, y ahora no las quieren meter hasta en la playa",ira
"Señor Sánchez, las urnas constataron que el Gobierno Frankenstein es un proyecto fracasado y agotado. ¿Y usted cómo responde? Con más de lo mismo, con la ideología por encima de la economía",ira
"No ha entendido nada. Por eso ustedes intentaron ayer resucitar la Ley de Memoria Democrática y, a última hora, reactivar la mal llamada Mesa del Diálogo de Cataluña",ira
"Nosotros sí, y además los españoles lo esperan. La próxima semana además es la cumbre de la OTAN y no cuenta ni tan siquiera con el apoyo de todo su Gobierno",ira
"¿Cómo valora los informes de la AIREF y del Banco de España sobre la economía española? Pues mire, señor Sánchez, le quedan 24 horas",ira
"están sufriendo una pérdida de poder adquisitivo de 16.700 millones de euros este año. Esto sucede mientras solo con la recaudación de enero y febrero el Gobierno ha recaudado 7.500 millones de euros más. Es decir,",ira
"¿De verdad no va a tener ni un solo minuto para que pactemos de flactar la tarifa del IRPF en los tres primeros tramos, es decir, los de las rentas bajas y medias?",ira
"Como diría usted, ¿qué coño tiene que pasar en España para que usted asuma alguna responsabilidad? Usted es padre y yo también",ira
"que hoy sigue matando a medio centenar de españoles todos los días, el Helicóptero y Falco me imagino que le habrán contado que hoy se bate el récord histórico del precio de la lista",ira
Con el historial de Podemos es normal que lo único que le preocupe sea controlar a los jueces. Por eso se pasa usted el día conspirando contra el Consejo General del Poder Judicial y no ha dedicado ni una hora a ocuparse de las residencias de mayores,ira
"El informe de la Young Hoskin que lleva la subjetión, falso. El Comité de Expertos de la Desescalada, falso. La mascarilla no es necesaria",ira
"Hoy usted marca la batuta, se ha acordado en el CNI, ha convertido televisión española en la tuerca, se gasta 43.000 euros diarios en un programa y la gente no cobra el ingreso mínimo vital",ira
Queremos recuperar ese espíritu de España suma,alegría
"Y por eso queremos recuperar el espíritu positivo de este salón del Tinel, precisamente porque es el escenario de uno de los acontecimientos más tristes de la historia del Partido Socialista",alegría
