text,emotion
Me siento un poco podrido así que no soy muy ambicioso en este momento,tristeza
estoy actualizando mi blog porque me siento una mierda,tristeza
Nunca la separé de mí porque no quiero que se sienta avergonzada con ella,tristeza
Me fui con mi ramo de tulipanes rojos y amarillos debajo de mi brazo sintiéndome un poco más optimista que cuando llegué,alegría
Me sentía un poco vanidosa cuando hice esto,tristeza
No puedo entrar en una tienda donde no me sienta incómodo,miedo
Explico por qué me aferré a una relación con un chico que era de muchas maneras inmaduro y sin compromiso a pesar de la emoción que debería haber sentido por ser aceptado en el programa de maestría en la universidad de Virginia,alegría
Me gusta tener la misma sensación sin aliento que un lector ansioso por ver lo que va a pasar a continuación,alegría
"I jest me siento gruñón cansado y pre menstrual que probablemente soy, pero de nuevo sólo ha sido una semana y estoy tan en forma como una morsa de vacaciones para el verano",ira
No me siento particularmente agitado,miedo
Me siento maravillosamente emocional sabiendo que estas mujeres de las que sabía que sólo un puñado me estaban sosteniendo a mí y a mi baba en nuestro viaje,tristeza
Me siento extremadamente cómodo con el grupo de personas que ni siquiera necesito esconderme,alegría
Me sentía tan descorazonada como estoy seguro de que Katniss lo estaba,tristeza
Me siento un poco suave hoy,alegría
Siento que mi único papel ahora sería romper tus velas con mi pesimismo y descontento,tristeza
Siento que los rojos y los morados son tan ricos y perfectos,alegría
"No estoy seguro de que la sensación de pérdida se vaya, pero puede ser aburrido a una dulce sensación de nostalgia en lo que compartí en esta vida con mi padre y la suerte que tuve que tener un padre durante años",tristeza
Siento que he llegado a conocer a muchos de ustedes a través de comentarios y correos electrónicos y por eso estoy agradecido y contento de que sean parte de este pequeño espacio,alegría
Miro mis propios posts en los últimos años y sólo me siento satisfecho con fragmentos vagos de algunos de ellos sólo siento que pequeños pedacitos de ellos capturan lo que es como ser yo o alguien como yo en Dublin en el siglo pasado,alegría
También les digo con la esperanza de que cualquier persona que todavía se siente estigmatizada o avergonzada de sus problemas de salud mental dejará ir el estigma dejar ir la vergüenza,tristeza
No me siento culpable como si no fuera capaz de cocinar para él,tristeza
Odio cuando siento miedo sin ninguna razón,miedo
"Me siento indignado, se ve en todas partes",ira
Robé un libro de uno de mis autores favoritos de todos los tiempos y ahora me siento como una persona podrida,tristeza
"A veces me siento inseguro, pero quién no lo hace",miedo
Recomiendo mucho visitar en un miércoles si eres capaz porque es menos abarrotado por lo que llegar a hacer a los agricultores más preguntas sin sentirse grosero por mantener una línea,ira
He estado extrañándolo y sintiéndome tan inquieto en casa pensando en él,miedo
He publicado en mi página de facebook a principios de esta semana me he estado sintiendo un poco gruñón y fuera de clase en los últimos días,ira
Empiezo a sentirme emocional,tristeza
Me siento como si fuera defectuosa o algo así por no tener fiebre del bebé,tristeza
Me siento más virtuosa que cuando como verduras bañadas en hummus,alegría
Me siento muy honrado de ser incluido en un magzine que prioriza la salud y la vida limpia tan altamente tengo curiosidad por hacer cualquiera de ustedes leer revistas relacionadas con la salud y estilos de vida limpios como el padre verde,alegría
Pasé las últimas dos semanas en la escuela sintiéndome miserable,tristeza
me siento muy tranquilo acerca de nuestra boda de nuevo ahora después de tener,alegría
Había estado hablando con el entrenador Claudia Barcomb y el entrenador Ali Boe durante mucho tiempo y ambos me hicieron sentir muy bienvenida en el sindicato,alegría
Siento que si odié completamente las cosas... ejerceré mi derecho democrático... hablaré de lo que sea posible... y trataré de hacer un cambio,ira
Me siento humillado avergonzado o tonto Voy a recordar que otros se han sentido de la misma manera debido a la misma clase de cosas y voy a ser amable y servicial y aceptar,tristeza
Me siento seguro de que estoy tratando con mi dieta de la manera correcta y que todo está bien,alegría
Siento que tengo que estar de acuerdo con ella a pesar de que puedo imaginar algunos casos posibles bastante desagradables,tristeza
Estoy en un estado de ánimo tan feliz hoy me siento casi encantado y no he hecho nada diferente hoy entonces normalmente lo tengo es maravilloso,alegría
me siento realmente fuera de lugar e irritado,ira
También sé que no siento nada más que un afecto amistoso hacia ellos también,alegría
Siento que tuve un fin de semana bastante productivo y no siempre puedo decir que no importa lo mucho que consiga hacer,alegría
me siento inseguro en este momento,miedo
"Me sentía bastante ansioso todo el día, pero mi primer día en el trabajo fue un muy buen día y eso ayudó mucho",miedo
Me enfrenté a ti finalmente me enfrenté a ti y ahora siento que estoy siendo castigada si pudiera volver y hacerlo de nuevo,tristeza
"Me siento un poco nervioso, voy al gimnasio",miedo
No puedo detener la ansiedad que siento cuando estoy solo cuando no tengo distracciones,tristeza
Estoy tratando de sentir mi estilo de casa ahora que estoy viviendo por mi cuenta y tengo carta blanca creativa,alegría
He tratado de ver cómo sería si me gustara una de mis amigas pero nunca ha funcionado realmente y sólo puedo sentir una conexión emocional con ellos porque son mis amigos,tristeza
Tenía todas las intenciones de hacer más jardinería esta mañana mientras todavía estaba bien pero me sentía tan podrida,tristeza
"Tengo un buen presentimiento sobre esto, así que estoy emocionado",alegría
Siento que estoy empezando a entender las bendiciones que vienen de ser sumiso a la voluntad del padre,tristeza
Pienso en las cosas que he dicho y las cosas que he hecho me hace sentir asqueado en mí mismo cuando debería hacerte feliz y sonreír lo cual estaba lejos de hacer,ira
Me desperté ayer lunes por la mañana sintiéndome un poco deprimida,tristeza
Me siento tan avergonzada,tristeza
Puedo decir honestamente que después de cada charla de sistahs me siento vigorizado y bendecido,alegría
Admito que me siento un poco desamorada en este momento,tristeza
Me siento un poco estresada a pesar de que todas las cosas que tengo pasando son divertidas,ira
Me siento muy ansioso,miedo
Creo que siempre han sido defensores de la idea y es sólo un poco posible que sus sentimientos por una chica encantadora nueva Inglaterra lo han llevado a su manera de pensar,alegría
Puedo sentir que son amables y pueden entender mis sentimientos,alegría
Me siento disgustado en cualquier hombre en el poder que habla de que la electricidad es un problema en su área y dice que incluso mi propia casa tiene problemas similares,ira
Me siento trascendente y espléndido,alegría
Finalmente llegué a casa un par de horas más tarde sintiéndome algo exhausto deshidratado e incluso quemado por el sol,tristeza
Me siento totalmente relajado y cómodo,alegría
Me siento privilegiado en mi mundo,alegría
"No soy una persona de gente, pero por alguna maldita razón la gente siente que pueden venir a aburrirme con su basura mezquina",ira
Me di cuenta de mi error y me siento terrible y pensando que no debería hacer eso,tristeza
Supongo que a veces me siento demasiado confiado,alegría
"Volví a casa esperando la ducha y leí algo que me molestó. Por eso siento descontento, jaja",tristeza
Me desperté sintiéndome cansado y luchando contra esta sensación todo el día tal vez sea todo el polen la presión barométrica no sé que estaba fuera de Kilter,tristeza
Siento como si estuviera en el paraíso besando esos dulces labios me hacen sentir como si me sumergiera en un mágico mundo de amor,alegría
Me siento tan feliz,alegría
Estoy corriendo a un ritmo de minuto aproximado que me parece bastante aceptable,alegría
Me siento tan decepcionada cuando mi ex novia no me devuelve la llamada,tristeza
"Tengo la sensación de que la gente lo está usando más de lo que necesitan y disfrutar de la sensación ya que vuela despreocupado de la lengua, pero eso está bien para mí",alegría
Me siento incierto de los méritos de publicar en este blog con la frecuencia o seriedad que había estado el año anterior,miedo
Me siento envidioso de la confianza que tenían en sí mismos,ira
Me sentía raro el otro día y desapareció unos minutos después de tomar mi metformina,miedo
cuando un amigo me tiró una rana por el cuello,ira
Me acosté en la cama sintiendo como si estuviera esperando a un visitante no bienvenido sin embargo me dije a mí mismo que era fuerte y pensé en cosas buenas hasta que me sentí mejor,tristeza
Siento que mi corazón es torturado por lo que he hecho,ira
Todavía me sentía llorando y encadenada así que Maggie me trató con helado y una película,tristeza
Me siento necesitado pero cómodo con él me siento vulnerable pero seguro siento el impulso de correr duro pero no consigo alivio,tristeza
Me di cuenta de mi tendencia a veces sobrecomprometerme a mí mismo lo que puede hacerme sentir exhausto y abrumado,tristeza
Comencé sintiéndome desanimada esta mañana,tristeza
Me siento agitada conmigo misma que no preveí sus frustraciones antes llevando al final de nuestra relación,miedo
lo cojo del aire su marco suave se siente frío al tacto,ira
Yo estaba enojado con mi novio que había prometido venir a verme pero no lo hizo porque pasó la noche con sus amigos,ira
Odio estar sentado aquí en el albergue escribiendo esto y sintiéndome tan perfectamente bien y que llegue a casa y sea yo y mis problemas y una pared,alegría
Hago ejercicio me siento enérgico y soy capaz de realizar mis otras tareas de una manera muy buena,alegría
Miré a Mabel esta mañana llamé a mi mama izquierda Mabel mi derecha es avellana y siento esta extraña mezcla de ira y pérdida Valerie escribió menos de un mes después de su diagnóstico,miedo
Me siento bastante descorazonado por todo esto,tristeza
Siento que una entrada de mí será valorada como menos potente que decir que de Irfan Pathan,alegría
Incluso me siento un poco tembloroso,miedo
Me siento mejor aunque no lo suene,alegría
Siento que nuestro mundo era entonces un lugar mucho más inocente,alegría
Me siento completamente virtuoso incluso si el viaje diario a la papelera de compost no es la experiencia más agradable,alegría
No siento nada sospechoso realmente,miedo
Me sentía un poco sentimental hoy,tristeza
Me siento como si sé quienes son la mayoría de ellos por ahora y estoy empezando a desarrollar mis gustos y disgustos aunque no he estado interesado en los desalojos rápidos que han parecido bastante inútil el primero en ir regresó y los dos compañeros de la tela hizo absolutamente cero impacto en mí para que no se pierdan,alegría
Me siento menos lloriqueo desde que el sol salió aquí en la zona de sf,tristeza
hizo un nuevo y maravilloso amigo,alegría
Sé que es fácil sentirse un poco envidioso de mí y no puedo decirte que no deberías,ira
Me sentiría fatal si ella estuviera aquí todo este tiempo,tristeza
Voy a tener que comprobar en sólo unos minutos pero hay este reloj encima de la pantalla que sigue marcando los minutos que me quedan así que me siento un poco frenético,miedo
"Yo dormí, pero si pudiera elegir no ser despertado por una alarma, definitivamente tomaría eso por encima de cualquier cosa que me haga sentir tan aturdido",tristeza
ha sido aburrido durante algunas semanas y se siente un poco triste causa de los días lluviosos,tristeza
Siento que esta información es vital para seguir adelante con tu día y no estás completa hasta que la leas,alegría
Me sentiré incómodo por llamar a una de estas personas de la nada para pasar el rato o más bien para estar familiarizado con ellos en un nivel más profundo que no son mi kith y parientes,tristeza
No me gusta la sensación que tengo cuando alguien está incluso un poco ofendido por alguna observación offhand que he hecho,ira
"Lo entiendo, pero gracias por sentir la necesidad de decirme que soy el que está jodido",ira
Estoy controlando el crecimiento de este negocio y cada vez que post trabajo para un cliente me siento aún más decidido a hacerlo un negocio a tiempo completo un día,alegría
Estaba embarazada de Dean. Pasé el resto de mi embarazo sintiéndome aterrorizada por tener otro bebé,miedo
En realidad me siento agitado lo que llevó a un día terrible ayer en el que no podía concentrarme en nada y básicamente me metí el día lejos,ira
Me siento muy tocado con todo lo que ha estado pasando,tristeza
"Me siento aprensiva por ello, pero también salvajemente excitada",miedo
Me sentía bastante relajada cuando subí al nuevo airbus y me dirigí al nebuloso cielo en camino a Honolulu,alegría
"Soy una persona tranquila, pero lo que tengo que decir es importante",alegría
Creo que empecé a sentir un poco de nostalgia,tristeza
Me siento ansioso por empezar a hacer algo de trabajo el hombre que trabaja allí literalmente dice así que uhm ustedes quieren ir atrás y ver si podemos encontrar algo que hacer,alegría
Me siento incómodo ya que tengo una caja torácica más pequeña y un pecho más grande o estoy derramando sobre la parte superior del tanque o el soporte de la banda elástica es demasiado apretado o demasiado suelto,miedo
Me siento reacio a salir de mi apartamento recién limpiado que me quedé limpiando anoche,miedo
Me siento bastante angustioso y atlético,tristeza
Me siento triste y cansado,tristeza
Me obligaba a comer mi rutina normal comidas limpias al día pero entonces empecé a sentirme tan mal,tristeza
Me siento bastante privilegiado de haber sido testigo del gran hombre en acción que realmente era imposible para un novicio como yo para averiguar exactamente cuál de los cuatro jinetes idénticos era él,alegría
Siento que estoy en el spa recibiendo un maravilloso facial cuando los uso,alegría
Me siento mezquino de repente,ira
Espero que te guste este blog más honesto y crudo y si te sientes infeliz espero que esto te haga sentir menos solo,tristeza
Yo también me siento un poco disgustado,ira
"Me sorprendió mucho el clima de estos últimos días, pero estoy muy agradecido por eso, ya que todavía puedo usar mis pantalones cortos sin sentir ese frío sí no bromear",ira
Me siento ligeramente relajado siendo un,alegría
Me da vergüenza admitir que estaba luchando para cargar una sola computadora,miedo
Acabo de ir sobre mi guión de ¿te gustaría mostaza o salsa con eso y comenzó a sentirse realmente asustado,miedo
Disfruto de mis colegas. No me siento muy sociable hoy,alegría
Me siento impaciente sólo publicar una entrada de blog y siento que he conseguido algunas palabras escritas y fuera en el mundo,ira
Estoy intentando lo más posible para poder llegar a un lugar donde pueda unirme a ti y finalmente sentir que tengo algo que vale la pena decir,alegría
Tengo que admitir que me siento divertido cuando veo el pti jamiat y un montón de otros en los medios de comunicación tratan de evitar la sugerencia de que en realidad están protestando por el uso de la sharia en el caso de la liberación de Raymond Davis,alegría
Me da vergüenza que se haya puesto tan mal,tristeza
Me siento muy amarga por esto,ira
Tuve una Navidad fabulosa y un año nuevo increíble con mi familia y amigos y contra todas las probabilidades me siento muy optimista sobre,alegría
Me sentía particularmente vulnerable en un área específica así que empecé a hablar con mis amigos y lo bastante interesante era que había una comprensión increíble de mi lucha,miedo
Voy a la página conmemorativa del oficial y reflexiono sobre mis sentimientos sobre ese maravilloso oficial que parece hacerme sentir un poco mejor,alegría
im con un grupo de personas que todavía me siento aislado y en el exterior mirando en,tristeza
Me siento aterrorizado porque mi casero no ha cambiado nuestras cerraduras todavía,miedo
No me gusta comer comidas que se sientan demasiado virtuosas,alegría
Me fui sintiéndome muy emocionado por la oportunidad de al menos poner mi nombre en el sombrero,alegría
Me siento un poco raro cuando Andrea trata de hablar conmigo sobre Chris,miedo
"Me encantaba lo de Ellie, es que no se sentía insultada por todas las groseras y estúpidas cosas que lothaire le dijo porque según los insultos de Ellie sólo duelen cuando vienen de alguien que respetas, maldita sea",ira
Estoy disfrutando de mi aislamiento en casa. Rara vez me siento sola,tristeza
Estoy siendo sobre dramático pero me siento muy fuerte por ella y estoy decidido a hablar con ella la próxima oportunidad que tengo,alegría
Realmente no me gusta Quinn porque siento que terminará lastimando a Barney y odié la historia de Ted Robin,ira
"Me siento tan mal, pero no debería concentrarme en mí ahora",tristeza
No recuerdo haberme sentido tan exhausto que me tomó viajar con el coche el último día para traer todo al remolque,tristeza
Me siento sospechoso de la informalidad y la falta de credenciales,miedo
Siento que la tercera situación resume mis sentimientos hacia este título,alegría
Quería sentirlo en mis manos y extender la mano para llevarlo a mi ansiosa boca,alegría
Me siento más creativo,alegría
Me siento tan talentoso que puedo usar una computadora,alegría
Me siento insondablemente rico en haber tenido un embarazo saludable hasta ahora,alegría
No quiero que se sientan tan presionados,miedo
"Todavía me da miedo el mundo, pero no hay lugar tan cerca como antes",miedo
No me siento suave,alegría
Me despierto demasiado temprano para sentirme malhumorado,ira
Creo que todos ustedes vendrán a mi lugar de trabajo y sólo tratar de hacerme sentir humillado pero sabes lo que en el fondo de mi corazón sé quién es el que debería avergonzarse de sí mismo,tristeza
Tengo algunas metas bastante descaradas y cada día me siento más fuerte y más seguro de que voy a alcanzar mi resultado final deseado,alegría
Me siento bien hablando con la gente para mi beneficio personal,tristeza
Me siento entumecido mientras sigo y me pregunto si lo superaré,tristeza
Estaba algo coaccionado en esta revisión del blog así que me siento un poco apresurado y nervioso,ira
Supongo que no me voy a sentir demasiado celosa ya que a menudo hago mi madre en la piscina pero es agradable tener un marido de nuevo,ira
No estoy seguro de cómo me siento sobre la necesidad de hacer ejercicio para mantener un comportamiento agradable,alegría
Me siento alarmado,miedo
"No me sentía bien ayer por la mañana por la tarde, así que me acosté en la cama y terminé en el muy familiar agujero negro youtube",alegría
Tengo estos terribles sentimientos que me molesté para ser más talentoso que yo,alegría
Acepto un desafío de media maratón entonces esperaré y veré cómo se siente el cuerpo en cuanto a si habrá un intento de pb o una baraja de kilómetro casual,alegría
No pude evitar sentirme enojado a ambos lados del debate y la dicotomía innecesaria,ira
Siento que no puedo ser respetada si me respeto a mí misma porque ahora es tan normal odiarte a ti misma,alegría
Me siento bastante dañado,tristeza
Dije que hoy me siento fea,tristeza
Me siento tan inteligente cuando encuentro maneras de engañarme así,alegría
"Me encanta bailar, pero a menudo me siento inhibida por mi propio cuerpo no estoy segura de lo que soy capaz de hiperpreocuparme por otras personas observándome y teniendo opiniones sobre mi estilo o simplemente sintiéndome incómoda como si no tuviera idea de lo que se supone que debo hacer aquí",miedo
Siento que las cartas son lo perfecto para hacer con ellas,alegría
Me siento como una heroína de un manga trágico,tristeza
Fui emboscado otra vez. Aparentemente fue mi culpa otra vez. Me siento inútil,tristeza
Me siento privilegiado de ser parte de algo tan eterno y tan precioso para el Señor Jesús que derramó su sangre para que iglesias como esta pudieran existir,alegría
Me siento totalmente inadecuado para la tarea que tengo ante mí,tristeza
Te veo en el montículo de lanzadores en nuestra pequeña liga de diamantes Me siento tan ansioso por ti porque se ve tan aislado por allí,miedo
Siento que me estoy uniendo a las masas que va en contra de mi rebelión de la mentalidad popular ha i m tan gótica pero me tomo la paz en saber que no estoy haciendo las mismas resoluciones que todos los demás,alegría
Me siento desilusionado con lo oculto así que he llegado a sentir una conexión mayor con la tierra,tristeza
Me siento estúpido cuando esto sucede,tristeza
Llego a casa y me siento tan mal que no puedo hacer todo el trabajo que necesito hacer,tristeza
Me gusta aunque es muy superior pero me hace sentir inteligente por asociación,alegría
Siento que todo fue en vano no puedo estar en lo cierto y siento que este corazón mío es justo,tristeza
Espero que todo el mundo pueda ayudar con el trabajo de caridad sin sentirse estresado por tales cosas,tristeza
Me siento tan culpable por poner a mi hijo en la guardería,tristeza
Me siento frustrado de que los problemas sin resolver de mi pasado han tenido un grave efecto negativo en mi comportamiento y siento que debe estar enojado porque no los he resuelto a estas alturas,ira
Me siento devastada por las cosas que he perdido. Me recordaré a mí misma estar agradecida por lo que todavía tengo,tristeza
Me siento enérgico,alegría
He llegado a entender que los sentimientos no son ni positivos ni negativos,alegría
Simplemente no me gusta que me pregunten por la razón detrás de mi estado de ánimo cuando me siento triste,tristeza
Me siento muy molesta por la falta de tiempo que tengo para encontrar inspiración,ira
Solía ser capaz de pasar el rato hablando con el cajero cuando estaba guardando mi dinero ahora me siento apresurado y estresado si me tomo un segundo para jugar con las monedas y ponerlos en mi bolso,ira
Me siento frustrado o el mundo a mi alrededor yace destrozado voy y camino en la lluvia para que ningún cuerpo pueda ver mis ojos llenos de lágrimas este es el sistema de entrega de justicia como conceptualizado por nuestros tribunales que estamos aprendiendo de la manera difícil,ira
Me di cuenta de lo que me apasiona ayudar a las mujeres a sentirse aceptadas y apreciadas,alegría
"No me gusta la externalización porque soy un idiota exigente y por lo general termina sintiéndose insatisfecho con el trabajo de los demás, pero tengo que forzarme a externalizar porque necesitas darte cuenta de que no puedes hacer todo por ti mismo",ira
"Me siento bienvenido, pero es un poco raro",alegría
Siento como si entretuviera a Sd todo el día,alegría
He luchado poderosamente a través de hoy y a pesar de que me siento malhumorado y cansado y sin motivación todavía realmente no voy a ir a dormir antes de las once y media,ira
Recuerdo estar sentado en el porche sintiéndome drenado y solo incluso cuando la luz del sol bañaba mi cabello con cálido resplandor y una ligera brisa enfriaba mis mejillas,tristeza
Me di cuenta de que me sentía muy irritada mientras decía que,ira
Estoy balanceando en mis manos con mis pies colgando y me siento bastante lejos y estoy aterrorizado de dejarlos caer pero estoy totalmente tranquilo al mismo tiempo colgando aquí,miedo
Me siento tan jodidamente inútil,tristeza
Siento que muchos hombres están realmente jodidos y pasan por la vida causando estragos y terminan destruyéndose a sí mismos en el proceso,ira
Me siento devastada de que mi estilo de arte pueda ser copiado,tristeza
Sólo puedo empezar a sentir lo angustiada que debe estar,miedo
Tampoco sentí que pudiera estar enojada con Dios porque sé dentro de mí que Dios no hace nada sin un propósito,ira
Creo que los dos nos sentíamos un poco drenados del trabajo también,tristeza
Reúno suministros y empiezo a comprobar su progreso a través de un examen interno la partera jefe se prepara para iniciar un IV y tranquilamente pide a otros más ayuda me siento tranquilizado por su calma,alegría
"Me siento mal, como mal",tristeza
Me siento muy honrado de haber recibido un premio tan prestigioso,alegría
me siento aventurero y exitoso en mi búsqueda hasta ahora,alegría
Me siento tan emocionada de tener tres individuos tan distinguidos como ustedes aquí,alegría
Me quedé sintiéndome vacía,tristeza
Me siento más o menos como esta escena de,alegría
Me siento como una canoa floja flotando hacia un tsunami en ascenso,miedo
Empiezo a sentirme sin amor y sin aprecio,tristeza
