text,true,pred,correct
"Clasifica el siguiente texto en una de estas emociones: ira, disgusto, tristeza, alegría, miedo o neutral. Responde únicamente con la emoción correspondiente.

Texto: ""Hizo que mi esposa participara en el Egghead Bible Challenge. Nuestros dos hijos obviamente son más desagradables que ese bucle porque esta mierda no la está afectando en absoluto""",ira,ira,True
"Clasifica el siguiente texto en una de estas emociones: ira, disgusto, tristeza, alegría, miedo o neutral. Responde únicamente con la emoción correspondiente.

Texto: ""Y demostró que todas las LEYES de control de armas no detiene a nadie dispuesto a violar la LEY. Podría haber disparado con la misma facilidad a un colega o estudiante. O varios. La aplicación LAX de las LEYES existentes las Mentes Criminales que ignoran las leyes son el VERDADERO problema. Pero, los DemocRats lo saben""",ira,ira,True
"Clasifica el siguiente texto en una de estas emociones: ira, disgusto, tristeza, alegría, miedo o neutral. Responde únicamente con la emoción correspondiente.

Texto: ""me siento más vulnerable más en contacto con mi corazón para tomar decisiones que sean mejores para mí mi familia menos preocupada por complacer a los demás""",miedo,miedo,True
"Clasifica el siguiente texto en una de estas emociones: ira, disgusto, tristeza, alegría, miedo o neutral. Responde únicamente con la emoción correspondiente.

Texto: ""Cada vez que leo historias de fantasmas, me da miedo quedarme dormido tener pesadillas""",miedo,miedo,True
"Clasifica el siguiente texto en una de estas emociones: ira, disgusto, tristeza, alegría, miedo o neutral. Responde únicamente con la emoción correspondiente.

Texto: ""Me encontré con un animalito tierno eso me llenó de alegría""",alegría,alegría,True
"Clasifica el siguiente texto en una de estas emociones: ira, disgusto, tristeza, alegría, miedo o neutral. Responde únicamente con la emoción correspondiente.

Texto: ""Me siento como la gente que yo mismo amo quiere necesita no hablar conmigo ya no se conectan conmigo porque han jodido la salud mental los problemas emocionales que no puedo ayudar a contribuir contienen entender o abarcar""",ira,ira,True
"Clasifica el siguiente texto en una de estas emociones: ira, disgusto, tristeza, alegría, miedo o neutral. Responde únicamente con la emoción correspondiente.

Texto: ""Los de Braavos no conquistan el mundo por qué no quieren definitivamente""",neutral,neutral,True
"Clasifica el siguiente texto en una de estas emociones: ira, disgusto, tristeza, alegría, miedo o neutral. Responde únicamente con la emoción correspondiente.

Texto: ""Tengo más de una idea de lo que esperar cómo el tiempo que consume un bebé recién nacido es lo mucho que alimentan cómo podrían interrumpir su sueño el potencial para sentirse aislado cómo usted tiene que reducir lo que se puede razonablemente esperar hacer en un día así sucesivamente""",tristeza,tristeza,True
"Clasifica el siguiente texto en una de estas emociones: ira, disgusto, tristeza, alegría, miedo o neutral. Responde únicamente con la emoción correspondiente.

Texto: ""No necesitas recorrer grandes distancias para viajar, solo un buen libro ❤️""",alegría,alegría,True
"Clasifica el siguiente texto en una de estas emociones: ira, disgusto, tristeza, alegría, miedo o neutral. Responde únicamente con la emoción correspondiente.

Texto: ""Qué dolor de gónadas tan bravo! Me duele como ser humano pero sobre todo como historiador. Que se salven su estructura, sus reliquias pero qué jamás se pierdan sus recuerdos su historia""",ira,ira,True
"Clasifica el siguiente texto en una de estas emociones: ira, disgusto, tristeza, alegría, miedo o neutral. Responde únicamente con la emoción correspondiente.

Texto: ""solo puedo ver al maestro los fines de semana siento que solo soy un sumiso con él durante los fines de semana""",tristeza,tristeza,True
"Clasifica el siguiente texto en una de estas emociones: ira, disgusto, tristeza, alegría, miedo o neutral. Responde únicamente con la emoción correspondiente.

Texto: ""a Me casé hace poco ese lo considero el momento más feliz de mi vida. Es un evento que cambia la vida""",alegría,alegría,True
"Clasifica el siguiente texto en una de estas emociones: ira, disgusto, tristeza, alegría, miedo o neutral. Responde únicamente con la emoción correspondiente.

Texto: ""En realidad fui a pilates ayer sintiendo un poco remordimiento por los zapatos que usé ese día zapatos que a menudo me refiero como pies apestosos katie zapatos""",tristeza,tristeza,True
"Clasifica el siguiente texto en una de estas emociones: ira, disgusto, tristeza, alegría, miedo o neutral. Responde únicamente con la emoción correspondiente.

Texto: ""En desmantelamiento intento Desde rechazamos la convocatoria la violencia De la oposición derechista""",neutral,neutral,True
"Clasifica el siguiente texto en una de estas emociones: ira, disgusto, tristeza, alegría, miedo o neutral. Responde únicamente con la emoción correspondiente.

Texto: ""Decidí leer el telón de fondo ese viejo sentimiento. Ha pasado un tiempo desde que me molesté en examinar el material de Adventure Path. Casi de inmediato comenzó a surgir lo que yo llamaría el fenómeno de la comida para llevar""",ira,ira,True
"Clasifica el siguiente texto en una de estas emociones: ira, disgusto, tristeza, alegría, miedo o neutral. Responde únicamente con la emoción correspondiente.

Texto: ""El miedo me invadió cuando se apagaron las luces de repente""",miedo,miedo,True
"Clasifica el siguiente texto en una de estas emociones: ira, disgusto, tristeza, alegría, miedo o neutral. Responde únicamente con la emoción correspondiente.

Texto: ""Me produce asco ver cómo algunas personas maltratan a sus mascotas""",disgusto,disgusto,True
"Clasifica el siguiente texto en una de estas emociones: ira, disgusto, tristeza, alegría, miedo o neutral. Responde únicamente con la emoción correspondiente.

Texto: ""La inmundicia de la habitación me causaba un asco inaguantable""",disgusto,disgusto,True
