text,emotion
Acabo de ver la gran pérdida que estamos teniendo en estos momentos... La catedral está en llamas😭Hoy la humanidad ha perdido otro gran monumento arquitectónico 😔,tristeza
¿A que vamos a reconstruir Notre Dame antes de mandar un solo barco de salvamento al Mediterráneo... a que sí?,tristeza
Desde ayer andan sufriendo por el incendio ni siquiera conocen la Basílica del voto nacional,ira
"Muy afectada como muchísima gente por lo ocurrido, lo llevo por dentro. Me gusta saber estar informada pero no voy a recrearme viendo imágenes escuchando información que solamente da vueltas a lo mismo una otra vez",tristeza
Es una mierda lo que paso pero please dejen de subir su foto,disgusto
"¡Lamentable! 😥Las llamas no solamente devoraron la madera, sino también más de ocho siglos de historia francesa europea",tristeza
No conocen ni la Iglesia que está en el barrio esta llorando por la catedral,ira
"Todo indica que el incendio fue accidental, comentó el jefe de detectives peritos dedicados a la investigación. La estructura de años de antigüedad no está dañada. Varios tesoros fueron salvados",tristeza
"Desde siempre he visto como una obra maravillosa de la arquitectura, no como algo relacionado con un dogma de fe. Mi pesar es por lo primero, nada más",tristeza
Los mismos que piden presunción de inocencia ante el feminismo hegemónico son aquellos que acusan de ataque musulmán el incendio de Notre Dame sin pruebas,ira
"Independiente de si fue accidente o atentado... me recordó la caída del símbolo del capitalismo... quizá por su inequidad.... que podría ser ahora?..., el derrumbamiento de un edificio histórico e icono de la iglesia católica.... por sus pecados??",tristeza
"No te sientas mal por llorar, es horrible que esto atroces suceso sigan ocurriendo",tristeza
"El de octubre de grabé este vídeo durante mi primer viaje. Las campanas de la Catedral se escuchaban por toda la ciudad. Fue un momento mágico. Hoy, el mundo entero llora por una gran pérdida. Mi corazón se une al dolor. Terrible 😔",tristeza
"Esto fue una de la cosas que más me impresionó enamoro, la imagen que tengo de ese momento dentro de la catedral es hermosa, desde chiquitita he sentido una pequeña debilidad hacia ella ahora París no volverá a ser la misma para mí",tristeza
